"scenario","rep","FleetName","76","78","80","82","84","86","88","90","92","94","96","98","100"
"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"Survey",-0.0244242924499538,-0.0652131672647549,0.16633295179161,-0.0777381859985518,0.213523432970703,-0.12558522035528,0.0204735920711379,-0.130406793472471,-0.0298155809503342,-0.287096385867073,0.306272057708469,0.0175851231512958,0.0161068189171445
"A30-C10-D0-L30-E0-F0-I0-R0-cos",2,"Survey",-0.0977303231097473,0.0965510341093676,0.208363412234981,-0.207695738971005,-0.109531246230585,-0.321570739168433,0.100983714325217,0.148720791687932,0.144220014539126,-0.252539239608968,0.226898054725083,-0.249709740981316,0.313019289392489
"A30-C10-D0-L30-E0-F0-I0-R0-cos",3,"Survey",0.0755657077342917,-0.275328866935197,-0.01693914996968,-0.0532956145675385,-0.377184477253174,0.101098701941435,0.33796270642463,-0.0444980916722244,-0.0658085190084492,0.205561548275153,0.0826143511259261,0.186121839606049,-0.155856934733563
"A30-C10-D0-L30-E0-F0-I0-R0-cos",4,"Survey",-0.239856357898812,-0.0829276692218635,-0.0840505535131157,-0.265040476951278,0.174275299230075,0.385239606810146,0.15728761052047,-0.0647929317380793,0.196595320678682,0.0769758794850866,-0.151542848295826,-0.227016274336851,0.124877978626131
"A30-C10-D0-L30-E0-F0-I0-R0-cos",5,"Survey",-0.220143096614013,0.120151459660132,-0.212952715657284,-0.0955212015317528,-0.256240437919271,0.0403578649409582,0.202516429652903,0.0403583149251361,0.406812036641742,0.0250324548106917,0.0595775148942295,0.0943138469467577,-0.204249967388296
"A30-C10-D0-L30-E0-F0-I0-R0-cos",6,"Survey",0.114514787525454,-0.0637236784932256,0.0421313139251467,-0.378522804404945,0.231109380498264,0.0466562160484898,0.00720994211543768,-0.187653155434504,0.168203977291316,-0.0675974370493115,0.237401953399253,-0.107988033502011,-0.0417253345899837
"A30-C10-D0-L30-E0-F0-I0-R0-cos",7,"Survey",-0.344140664581872,0.421033269104708,0.181131419338573,-0.184549485846759,0.0752029134143832,0.109397234606384,-0.17896942064629,-0.0900858394950141,-0.224134062300717,-0.0308484069073884,-0.195407246076456,0.517174536362464,-0.0558153149239189
"A30-C10-D0-L30-E0-F0-I0-R0-cos",8,"Survey",-0.105611143878555,0.103497858990718,0.118610414944776,-0.0818716186048931,0.0109125763670015,0.0332475878304521,-0.261436610018485,0.189383687770661,-0.224210395637222,-0.14697318624728,0.129005237259253,0.439067513032054,-0.203610946703808
"A30-C10-D0-L30-E0-F0-I0-R0-cos",9,"Survey",-0.322375278262886,-0.0646633469017708,-0.0690501693162666,0.213607575793386,-0.168550957056894,-0.239542160808206,0.125875147328848,0.207640645926425,0.198147387637047,0.121456815724223,0.150039627366343,0.183844388190362,-0.336441938014669
"A30-C10-D0-L30-E0-F0-I0-R0-cos",10,"Survey",-0.113651866776209,0.0592052059712884,-0.111298221538263,0.108399809843164,-0.0359912890835936,0.0769543204463154,-0.117579945569172,0.0735754609303747,0.19533138136288,-0.353264979593487,-0.00876404195636482,-0.0509678771786,0.278077437221921
"A30-C10-D0-L30-E0-F0-I0-R0-cos",11,"Survey",-0.134058861202444,-0.0907090661745684,-0.0752429670586068,0.143304755228129,0.0835859660038167,-0.0849792766186717,-0.0405255438695207,0.201912659248748,0.0831258549866334,-0.104183246154495,-0.0301983997682811,-0.0790340567202605,0.127005734387371
"A30-C10-D0-L30-E0-F0-I0-R0-cos",12,"Survey",-0.0261202701481231,-0.355019815931936,0.263960048224551,0.0140185784538822,-0.0374396920346172,0.137904798143268,0.00610975266411984,0.0759872890562363,0.109228154372758,-0.282765769040399,0.286445711637509,-0.0896232052229742,-0.102670307112806
"A30-C10-D0-L30-E0-F0-I0-R0-cos",13,"Survey",-0.0906188541879374,-0.0441157621330852,0.0738904802765532,-0.0818256455933373,0.17272444234203,-0.098412972228445,0.107220754452225,-0.0617588856618632,-0.0251787227181808,-0.048181860566725,0.0877789202977723,-0.0695885184895602,0.0780755748383939
"A30-C10-D0-L30-E0-F0-I0-R0-cos",14,"Survey",-0.0276140056345859,0.20125956724074,-0.220535922074575,0.180972762415099,-0.0520412664955785,0.0782691685510315,-0.00668482520985947,-0.219498029125131,0.0525079713155385,0.142127837832124,-0.100547430048035,0.0210413085991128,-0.0492709705663508
"A30-C10-D0-L30-E0-F0-I0-R0-cos",15,"Survey",-0.210886305116787,0.239934715532897,-0.373745142503502,0.318969474605545,0.0019820617415327,0.191053044376428,-0.147911804150084,-0.003101570856753,-0.0858742914691426,0.00863143946460454,0.225541663985403,-0.080493694792537,-0.0840801633356207
"A30-C10-D0-L30-E0-F0-I0-R0-cos",16,"Survey",0.230140742473953,0.163139591148564,-0.214136713379883,-0.0405012323653082,-0.238436869554512,-0.389855917888347,0.200051841260496,0.321459949257292,0.19444370543631,-0.0458254784091636,-0.141474613891869,-0.249124760983285,0.210087455090246
"A30-C10-D0-L30-E0-F0-I0-R0-cos",17,"Survey",-0.116142020978803,0.209327372712504,0.0754913153644168,-0.138624509706155,-0.0231580447133481,-0.0283190530221908,-0.217325783197882,0.00507126367207178,0.284130471719607,-0.000650626749102656,-0.1001970055434,0.00921205434525518,0.0411836696070011
"A30-C10-D0-L30-E0-F0-I0-R0-cos",18,"Survey",0.380297785257738,-0.169561547812947,-0.148974188567738,-0.245184627852975,0.11957183897551,0.155596593866559,0.126043489129145,0.114812136107471,-0.124632314146467,-0.487926265656366,0.0459874467707841,0.0942128387874916,0.139761343145945
